"from","to","type_inference"
"Sex","Anxiety","tp"
"Sex","Sleep","tp"
"Sex","Alcohol","tp"
"Sex","PEG","tp"
"Depression","PEG","tp"
"Sleep","PEG","tp"
"Education","Smoking","tp"
"Financial_level","PEG","tp"
"Catastrophizing","PEG","tp"
"Fear_avoidance","PEG","tp"
"Age","CCI","tp"
"Age","Anxiety","tp"
"Age","Sleep","tp"
"Age","Smoking","tp"
"Age","PEG","tp"
"Anxiety","Depression","fp"
"Anxiety","Sleep","fp"
"Anxiety","Financial_level","fp"
"Anxiety","Catastrophizing","fp"
"Depression","Obesity","fp"
"Depression","Sleep","fp"
"Depression","Catastrophizing","fp"
"Sleep","Education","fp"
"Sleep","Financial_level","fp"
"Sleep","Catastrophizing","fp"
"Financial_level","Education","fp"
"Financial_level","Fear_avoidance","fp"
"Catastrophizing","Fear_avoidance","fp"
"Fear_avoidance","Education","fp"
"Alcohol","Financial_level","fp"
"Sex","CCI","fn"
"Sex","Obesity","fn"
"Sex","Depression","fn"
"Sex","Education","fn"
"Sex","Financial_level","fn"
"Sex","Smoking","fn"
"Sex","Catastrophizing","fn"
"Sex","Fear_avoidance","fn"
"Obesity","CCI","fn"
"Obesity","Anxiety","fn"
"Obesity","Depression","fn"
"Obesity","PEG","fn"
"Anxiety","CCI","fn"
"Anxiety","Smoking","fn"
"Anxiety","Alcohol","fn"
"Anxiety","PEG","fn"
"Depression","CCI","fn"
"Depression","Smoking","fn"
"Depression","Alcohol","fn"
"Sleep","CCI","fn"
"Sleep","Anxiety","fn"
"Sleep","Depression","fn"
"Sleep","Smoking","fn"
"Education","CCI","fn"
"Education","Obesity","fn"
"Education","Anxiety","fn"
"Education","Depression","fn"
"Education","Financial_level","fn"
"Education","Alcohol","fn"
"Education","PEG","fn"
"Financial_level","Obesity","fn"
"Financial_level","Anxiety","fn"
"Financial_level","Depression","fn"
"Financial_level","Sleep","fn"
"Smoking","PEG","fn"
"Catastrophizing","Anxiety","fn"
"Catastrophizing","Depression","fn"
"Fear_avoidance","Anxiety","fn"
"Fear_avoidance","Depression","fn"
"Age","Obesity","fn"
"Age","Depression","fn"
"Age","Financial_level","fn"
"Age","Alcohol","fn"
"Age","Catastrophizing","fn"
"Age","Fear_avoidance","fn"
"Alcohol","CCI","fn"
"Alcohol","PEG","fn"
