,var1,var2,label
0,Sex,Anxiety,True
1,Sex,Sleep,True
2,Sex,Alcohol,True
3,Sex,PEG,True
4,Depression,PEG,True
5,Sleep,PEG,True
6,Education,Smoking,True
7,Financial_level,PEG,True
8,Catastrophizing,PEG,True
9,Fear_avoidance,PEG,True
10,Age,CCI,True
11,Age,Anxiety,True
12,Age,Sleep,True
13,Age,Smoking,True
14,Age,PEG,True
15,Anxiety,Depression,False
16,Anxiety,Sleep,False
17,Anxiety,Financial_level,False
18,Anxiety,Catastrophizing,False
19,Depression,Obesity,False
20,Depression,Sleep,False
21,Depression,Catastrophizing,False
22,Sleep,Education,False
23,Sleep,Financial_level,False
24,Sleep,Catastrophizing,False
25,Financial_level,Education,False
26,Financial_level,Fear_avoidance,False
27,Catastrophizing,Fear_avoidance,False
28,Fear_avoidance,Education,False
29,Alcohol,Financial_level,False
30,Sex,CCI,True
31,Sex,Obesity,True
32,Sex,Depression,True
33,Sex,Education,True
34,Sex,Financial_level,True
35,Sex,Smoking,True
36,Sex,Catastrophizing,True
37,Sex,Fear_avoidance,True
38,Obesity,CCI,True
39,Obesity,Anxiety,True
40,Obesity,Depression,True
41,Obesity,PEG,True
42,Anxiety,CCI,True
43,Anxiety,Smoking,True
44,Anxiety,Alcohol,True
45,Anxiety,PEG,True
46,Depression,CCI,True
47,Depression,Smoking,True
48,Depression,Alcohol,True
49,Sleep,CCI,True
50,Sleep,Anxiety,True
51,Sleep,Depression,True
52,Sleep,Smoking,True
53,Education,CCI,True
54,Education,Obesity,True
55,Education,Anxiety,True
56,Education,Depression,True
57,Education,Financial_level,True
58,Education,Alcohol,True
59,Education,PEG,True
60,Financial_level,Obesity,True
61,Financial_level,Anxiety,True
62,Financial_level,Depression,True
63,Financial_level,Sleep,True
64,Smoking,PEG,True
65,Catastrophizing,Anxiety,True
66,Catastrophizing,Depression,True
67,Fear_avoidance,Anxiety,True
68,Fear_avoidance,Depression,True
69,Age,Obesity,True
70,Age,Depression,True
71,Age,Financial_level,True
72,Age,Alcohol,True
73,Age,Catastrophizing,True
74,Age,Fear_avoidance,True
75,Alcohol,CCI,True
76,Alcohol,PEG,True
